No,Benchmark,InputData,ID,Kernel,DRAM Frequency,SM Frequency,Elapsed Cycles,Memory [%],SOL DRAM,Duration,SOL L1/TEX Cache,SOL L2 Cache,SM Active Cycles,SM [%],Block Size,Grid Size,Registers Per Thread,Shared Memory Configuration Size,Driver Shared Memory Per Block,Dynamic Shared Memory Per Block,Static Shared Memory Per Block,Threads,Waves Per SM,Block Limit SM,Block Limit Registers,Block Limit Shared Mem,Block Limit Warps,Theoretical Active Warps per SM,Theoretical Occupancy,Achieved Occupancy,Achieved Active Warps Per SM
17,lud,1024,16,lud_perimeter,468085106.38,698945668.69,7364,3.26,2.34,10528,8.45,2.03,2841.75,2.68,32,57,81,65536,0,0,3072,1824,0.04,32,20,32,64,20,31.25,1.56,1.0
18,lud,1024,17,lud_internal,844787822.88,1240582718.33,21607,59.69,27.14,17344,73.91,28.82,17378.3,45.3,256,3249,30,16384,0,0,2048,831744,5.08,32,8,48,8,64,100.0,81.25,52.0
19,lud,1024,18,lud_diagonal,804439746.3,1204732646.23,18236,0.1,0.01,15136,9.42,0.05,187.38,0.06,16,1,32,32768,0,0,1024,16,0.0,32,64,96,64,32,50.0,1.56,1.0
20,lud,1024,19,lud_perimeter,475843558.28,709132157.46,7401,3.2,2.28,10432,9.02,1.98,2621.86,2.62,32,56,81,65536,0,0,3072,1792,0.03,32,20,32,64,20,31.25,1.56,1.0
21,lud,1024,20,lud_internal,896634615.38,1319571314.1,22035,56.42,25.07,16640,70.09,27.03,17677.34,42.85,256,3136,30,16384,0,0,2048,802816,4.9,32,8,48,8,64,100.0,81.75,52.32
22,lud,1024,21,lud_diagonal,789308176.1,1181221610.76,18033,0.1,0.01,15264,9.41,0.05,187.41,0.06,16,1,32,32768,0,0,1024,16,0.0,32,64,96,64,32,50.0,1.56,1.0
23,lud,1024,22,lud_perimeter,475460122.7,709851099.18,7410,3.13,2.24,10432,8.82,1.95,2626.71,2.57,32,55,81,65536,0,0,3072,1760,0.03,32,20,32,64,20,31.25,1.56,1.0
24,lud,1024,23,lud_internal,833962264.15,1226110455.97,20862,57.52,25.17,16960,73.88,27.71,16187.34,43.64,256,3025,30,16384,0,0,2048,774400,4.73,32,8,48,8,64,100.0,80.75,51.68
25,lud,1024,24,lud_diagonal,819354838.71,1227475358.42,18267,0.1,0.01,14880,9.42,0.05,187.38,0.06,16,1,32,32768,0,0,1024,16,0.0,32,64,96,64,32,50.0,1.56,1.0
26,lud,1024,25,lud_perimeter,460725075.53,689592774.42,7309,3.12,2.24,10592,8.73,1.95,2613.32,2.56,32,54,81,65536,0,0,3072,1728,0.03,32,20,32,64,20,31.25,1.56,1.0
27,lud,1024,26,lud_internal,822896281.8,1207079664.06,19817,58.45,24.8,16352,74.52,28.48,15483.11,44.32,256,2916,30,16384,0,0,2048,746496,4.56,32,8,48,8,64,100.0,80.4,51.46
28,lud,1024,27,lud_diagonal,807939914.16,1209965128.76,18045,0.1,0.01,14912,9.3,0.05,189.64,0.06,16,1,32,32768,0,0,1024,16,0.0,32,64,96,64,32,50.0,1.56,1.0
29,lud,1024,28,lud_perimeter,462908011.87,690343719.09,7450,3.0,2.15,10784,8.58,1.88,2601.97,2.47,32,53,81,65536,0,0,3072,1696,0.03,32,20,32,64,20,31.25,1.56,1.0
30,lud,1024,29,lud_internal,819472616.63,1202586206.9,19028,58.58,24.67,15776,74.29,28.6,14961.61,44.42,256,2809,30,16384,0,0,2048,719104,4.39,32,8,48,8,64,100.0,81.57,52.2
31,lud,1024,30,lud_diagonal,806209850.11,1207363044.25,18046,0.1,0.01,14944,9.26,0.05,190.62,0.06,16,1,32,32768,0,0,1024,16,0.0,32,64,96,64,32,50.0,1.56,1.0
32,lud,1024,31,lud_perimeter,455927051.67,682734929.08,7193,3.06,2.19,10528,8.66,1.93,2538.14,2.5,32,52,81,65536,0,0,3072,1664,0.03,32,20,32,64,20,31.25,1.56,1.0
33,lud,1024,32,lud_internal,798969072.16,1173228092.78,18272,58.58,24.43,15520,74.4,28.64,14335.84,44.55,256,2704,30,16384,0,0,2048,692224,4.22,32,8,48,8,64,100.0,80.44,51.48
34,lud,1024,33,lud_diagonal,808351177.73,1208266416.85,18059,0.1,0.01,14944,9.42,0.05,187.28,0.06,16,1,32,32768,0,0,1024,16,0.0,32,64,96,64,32,50.0,1.56,1.0
35,lud,1024,34,lud_perimeter,462121212.12,689835858.59,7289,2.95,2.11,10560,8.94,1.88,2402.12,2.42,32,51,81,65536,0,0,3072,1632,0.03,32,20,32,64,20,31.25,1.56,1.0
36,lud,1024,35,lud_internal,814102564.1,1194934116.81,17961,57.59,23.67,14976,73.66,27.95,13990.33,43.6,256,2601,30,16384,0,0,2048,665856,4.06,32,8,48,8,64,100.0,79.0,50.56
37,lud,1024,36,lud_diagonal,799893842.89,1197275300.78,18051,0.1,0.01,15072,9.41,0.05,187.55,0.06,16,1,32,32768,0,0,1024,16,0.0,32,64,96,64,32,50.0,1.56,1.0
38,lud,1024,37,lud_perimeter,457957957.96,684794169.17,7304,2.89,2.07,10656,9.02,1.85,2341.72,2.37,32,50,81,65536,0,0,3072,1600,0.03,32,20,32,64,20,31.25,1.56,1.0
