No,InputData,Kernel,Data,DataID,DRAMFrequency,SMFrequency,ElapsedCycles,MemoryPercentage,SOLDRAM,Duration,SOLL1/TEXCache,SOLL2Cache,SMActiveCycles,SMPercentage,BlockSize,GridSize,RegistersPerThread,SharedMemoryConfigurationSize,DriverSharedMemoryPerBlock,DynamicSharedMemoryPerBlock,StaticSharedMemoryPerBlock,Threads,WavesPerSM,BlockLimitSM,BlockLimitRegisters,BlockLimitSharedMem,BlockLimitWarps,TheoreticalActiveWarpsperSM,TheoreticalOccupancy,AchievedOccupancy,AchievedActiveWarpsPerSM,variant,BeginAddr,EndAddr,DataSize,CPUPageFault,GPUPagePault,HtoD,DtoH,RemoteMap,label
22,1536,needle_cuda_shared_1,input_itemsets,1,623793900.6035415,932515609.8342711,10561.510416666666,4.3038541666666665,2.0405208333333342,11322.0,10.807083333333333,1.1663541666666664,4224.474375,1.4828125000000003,16.0,48.5,32.0,98304.0,0.0,0.0,2180.0,776.0,0.018958333333333348,32.0,64.0,42.0,64.0,32.0,50.0,1.5883333333333345,1.0177083333333334,11,0x200060a00000,0x200061303004,9449476,29,172,9280.0,0.0,0.0,0
23,1536,needle_cuda_shared_2,referrence,0,632130713.6775,944341357.865,10898.25,8.11,3.85,11536.0,12.1625,1.9775,7265.4525,2.8,16.0,93.5,32.0,98304.0,0.0,0.0,2180.0,1496.0,0.04,32.0,64.0,42.0,64.0,32.0,50.0,1.83,1.1725,11,0x200060000000,0x200060903004,9449476,29,220,9280.0,0.0,0.0,2
24,1536,needle_cuda_shared_2,input_itemsets,1,632130713.6775,944341357.865,10898.25,8.11,3.85,11536.0,12.1625,1.9775,7265.4525,2.8,16.0,93.5,32.0,98304.0,0.0,0.0,2180.0,1496.0,0.04,32.0,64.0,42.0,64.0,32.0,50.0,1.83,1.1725,11,0x200060a00000,0x200061303004,9449476,29,172,9280.0,0.0,0.0,0
25,1792,needle_cuda_shared_1,referrence,0,628014997.1213003,938720153.6325004,10683.73,4.413200000000002,2.0980000000000008,11376.96,10.7383,1.18,4401.2457,1.5244999999999995,16.0,50.5,32.0,98304.0,0.0,0.0,2180.0,808.0,0.019800000000000016,32.0,64.0,42.0,64.0,32.0,50.0,1.6016000000000008,1.0262,11,0x200060000000,0x200060c43804,12859396,39,318,12608.0,0.0,0.0,0
26,1792,needle_cuda_shared_1,input_itemsets,1,628014997.1213003,938720153.6325004,10683.73,4.413200000000002,2.0980000000000008,11376.96,10.7383,1.18,4401.2457,1.5244999999999995,16.0,50.5,32.0,98304.0,0.0,0.0,2180.0,808.0,0.019800000000000016,32.0,64.0,42.0,64.0,32.0,50.0,1.6016000000000008,1.0262,11,0x200060e00000,0x200061a43804,12859396,39,236,12608.0,0.0,0.0,0
27,2048,needle_cuda_shared_1,referrence,0,617747150.3235,923413188.4673996,10459.1,4.5268000000000015,2.1547,11323.84,11.050899999999995,1.2277999999999998,4244.484300000002,1.5652,16.0,50.5,32.0,98304.0,0.0,0.0,2180.0,808.0,0.019800000000000016,32.0,64.0,42.0,64.0,32.0,50.0,1.601800000000001,1.0264,11,0x200060000000,0x200061004004,16793604,49,96,16448.0,0.0,0.0,0
28,2048,needle_cuda_shared_1,input_itemsets,1,617747150.3235,923413188.4673996,10459.1,4.5268000000000015,2.1547,11323.84,11.050899999999995,1.2277999999999998,4244.484300000002,1.5652,16.0,50.5,32.0,98304.0,0.0,0.0,2180.0,808.0,0.019800000000000016,32.0,64.0,42.0,64.0,32.0,50.0,1.601800000000001,1.0264,11,0x200061200000,0x200062204004,16793604,49,96,16448.0,0.0,0.0,0
29,2304,needle_cuda_shared_1,referrence,0,628166677.4594,939184251.8025,10706.86,4.404600000000001,2.0927,11396.16,10.720999999999998,1.165,4413.7593000000015,1.5199,16.0,50.5,32.0,98304.0,0.0,0.0,2180.0,808.0,0.019800000000000016,32.0,64.0,42.0,64.0,32.0,50.0,1.6017000000000008,1.0263,11,0x200060000000,0x200061444804,21252100,63,402,20800.0,0.0,0.0,0
30,2304,needle_cuda_shared_1,input_itemsets,1,628166677.4594,939184251.8025,10706.86,4.404600000000001,2.0927,11396.16,10.720999999999998,1.165,4413.7593000000015,1.5199,16.0,50.5,32.0,98304.0,0.0,0.0,2180.0,808.0,0.019800000000000016,32.0,64.0,42.0,64.0,32.0,50.0,1.6017000000000008,1.0263,11,0x200061600000,0x200062a44804,21252100,63,297,20800.0,0.0,0.0,0
31,2560,needle_cuda_shared_1,referrence,0,624391622.5608999,933562547.5028,10626.54,4.4578999999999995,2.1112,11378.88,10.822399999999995,1.1852,4381.7269,1.5329000000000008,16.0,50.5,32.0,98304.0,0.0,0.0,2180.0,808.0,0.019800000000000016,32.0,64.0,42.0,64.0,32.0,50.0,1.6016000000000008,1.0263,11,0x200060000000,0x200061905004,26234884,77,440,25664.0,0.0,0.0,0
